            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2448204.295138889, A.D. 1990-Nov-08 19:05:00.0000,  9.061634295035677E+07,  1.352901478240631E+08,  3.848088194007553E+06, -2.506129885832501E+01,  3.005046579204904E+01,  1.221854653432016E+00,  5.433057074843543E+02,  1.628789534921636E+08,  1.104667283863741E+01,
2448205.295138889, A.D. 1990-Nov-09 19:05:00.0000,  8.844078796895358E+07,  1.378709572249017E+08,  3.953211382019334E+06, -2.529711462010368E+01,  2.969042820982411E+01,  1.211537127193438E+00,  5.465343792438703E+02,  1.638468849350241E+08,  1.135780195309611E+01,
2448206.295138889, A.D. 1990-Nov-10 19:05:00.0000,  8.624528572937714E+07,  1.404206474565131E+08,  4.057439310030133E+06, -2.552306369311175E+01,  2.933017012078400E+01,  1.201132931381450E+00,  5.498515544688231E+02,  1.648413490493294E+08,  1.166085507384308E+01,
2448207.295138889, A.D. 1990-Nov-11 19:05:00.0000,  8.403068252833261E+07,  1.429392138362471E+08,  4.160765005225912E+06, -2.573929216218750E+01,  2.897002310886868E+01,  1.190654160500923E+00,  5.532549069046171E+02,  1.658616484414963E+08,  1.195584446803942E+01,
2448208.295138889, A.D. 1990-Nov-12 19:05:00.0000,  8.179781139942068E+07,  1.454266798376912E+08,  4.263182549791090E+06, -2.594596004701121E+01,  2.861030569225337E+01,  1.180112902993288E+00,  5.567421165014648E+02,  1.669070875780965E+08,  1.224279978669079E+01,
2448209.295138889, A.D. 1990-Nov-13 19:05:00.0000,  7.954749105251470E+07,  1.478830957530512E+08,  4.364687050627597E+06, -2.614323867010443E+01,  2.825132013312214E+01,  1.169520788209521E+00,  5.603108738725035E+02,  1.679769741223658E+08,  1.252176519687882E+01,
2448210.295138889, A.D. 1990-Nov-14 19:05:00.0000,  7.728049877435580E+07,  1.503085331513682E+08,  4.465241630464673E+06, -2.633133627459841E+01,  2.789337129810900E+01,  1.158871919535388E+00,  5.639588292438224E+02,  1.690706036298078E+08,  1.279280679475343E+01,
2448211.295138889, A.D. 1990-Nov-15 19:05:00.0000,  7.499767219212525E+07,  1.527031017208309E+08,  4.564907813719720E+06, -2.651038489829481E+01,  2.753669288732991E+01,  1.148211681560634E+00,  5.676838196186090E+02,  1.701873276502914E+08,  1.305598231016699E+01,
2448212.295138889, A.D. 1990-Nov-16 19:05:00.0000,  7.269975830084662E+07,  1.550669180754572E+08,  4.663652066860564E+06, -2.668061300503439E+01,  2.718155537184494E+01,  1.137532601568259E+00,  5.714835336748932E+02,  1.713264532669220E+08,  1.331137670806903E+01,
2448213.295138889, A.D. 1990-Nov-17 19:05:00.0000,  7.038751043339989E+07,  1.574001257199732E+08,  4.761473184316546E+06, -2.684222432064337E+01,  2.682819618144678E+01,  1.126844374815251E+00,  5.753557418710426E+02,  1.724873120799333E+08,  1.355908164169572E+01,
2448214.295138889, A.D. 1990-Nov-18 19:05:00.0000,  6.806166408945319E+07,  1.597028879906295E+08,  4.858370776928760E+06, -2.699542774531978E+01,  2.647683699799784E+01,  1.116156204644669E+00,  5.792982424460702E+02,  1.736692440179873E+08,  1.379919808209257E+01,
2448215.295138889, A.D. 1990-Nov-19 19:05:00.0000,  6.572293653405770E+07,  1.619753867080377E+08,  4.954345229533091E+06, -2.714043630764812E+01,  2.612768407675721E+01,  1.105476804885479E+00,  5.833088639654261E+02,  1.748715981013827E+08,  1.403183535542492E+01,
2448216.295138889, A.D. 1990-Nov-20 19:05:00.0000,  6.337202650153497E+07,  1.642178208144793E+08,  5.049397652465276E+06, -2.727745734558383E+01,  2.578090589717212E+01,  1.094811224175642E+00,  5.873854674732933E+02,  1.760937330872976E+08,  1.425709210922668E+01,
2448217.295138889, A.D. 1990-Nov-21 19:05:00.0000,  6.100961465602302E+07,  1.664304033103766E+08,  5.143529590724126E+06, -2.740672694937292E+01,  2.543672447127227E+01,  1.084173574191908E+00,  5.915259436915338E+02,  1.773350166300545E+08,  1.447512730494753E+01,
2448218.295138889, A.D. 1990-Nov-22 19:05:00.0000,  5.863636125088746E+07,  1.686133656251883E+08,  5.236743769047573E+06, -2.752845607991916E+01,  2.509527946656861E+01,  1.073567956207688E+00,  5.957282297946277E+02,  1.785948303101203E+08,  1.468605240438573E+01,
2448219.295138889, A.D. 1990-Nov-23 19:05:00.0000,  5.625290826334709E+07,  1.707669507064781E+08,  5.329043252986930E+06, -2.764286513923895E+01,  2.475671958772838E+01,  1.063001192414804E+00,  5.999902958433662E+02,  1.798725655670299E+08,  1.489000130490889E+01,
2448220.295138889, A.D. 1990-Nov-24 19:05:00.0000,  5.385987862780700E+07,  1.728914137769340E+08,  5.420431678096093E+06, -2.775017441657929E+01,  2.442118036324473E+01,  1.052479657153178E+00,  6.043101511027445E+02,  1.811676255934432E+08,  1.508711205021474E+01,
2448221.295138889, A.D. 1990-Nov-25 19:05:00.0000,  5.145787627426199E+07,  1.749870212187532E+08,  5.510913211787693E+06, -2.785060343648037E+01,  2.408878467651966E+01,  1.042009289924142E+00,  6.086858451337347E+02,  1.824794256624497E+08,  1.527752612201751E+01,
2448222.295138889, A.D. 1990-Nov-26 19:05:00.0000,  4.904748623028239E+07,  1.770540494791042E+08,  5.600492512790337E+06, -2.794436148260852E+01,  2.375962047371012E+01,  1.031592412810761E+00,  6.131154686143864E+02,  1.838073933737287E+08,  1.546136805134153E+01,
2448223.295138889, A.D. 1990-Nov-27 19:05:00.0000,  4.662927548975632E+07,  1.790927821768794E+08,  5.689174433445252E+06, -2.803168259433873E+01,  2.343383265324373E+01,  1.021240529155623E+00,  6.175971485921367E+02,  1.851509672302279E+08,  1.563882325665829E+01,
2448224.295138889, A.D. 1990-Nov-28 19:05:00.0000,  4.420379095439192E+07,  1.811035148948596E+08,  5.776964792269833E+06, -2.811277179227971E+01,  2.311148661208722E+01,  1.010955162059762E+00,  6.221290657074692E+02,  1.865096018016857E+08,  1.581002048330555E+01,
